node,cagiada-dG
AT1G01010,10.322177782599868
AT1G01030,
AT1G01040,
AT1G01050,12.657335833872859
AT1G01060,9.583521833458246
AT1G01070,
AT1G01090,22.813207671891853
AT1G01100,4.243869538593499
AT1G01120,
AT1G01140,
AT1G01160,
AT1G01170,
AT1G01183,
AT1G01200,12.457243109209832
AT1G01210,4.473665090703149
AT1G01225,
AT1G01230,
AT1G01240,
AT1G01250,5.736659489446473
AT1G01260,16.475775548902757
AT1G01290,13.046394898873192
AT1G01300,26.568340436881105
AT1G01320,
AT1G01340,
AT1G01350,7.787359824451828
AT1G01360,9.425696178121889
AT1G01370,6.115663827478458
AT1G01380,2.570186417136009
AT1G01440,
AT1G01470,4.844720795424462
AT1G01480,25.556976582142315
AT1G01500,10.28648893057782
AT1G01510,
AT1G01520,6.263208860108092
AT1G01530,5.29763066161043
AT1G01560,23.313391495421175
AT1G01580,
AT1G01610,30.946672974251015
AT1G01620,
AT1G01630,14.731307802992664
AT1G01640,
AT1G01650,
AT1G01700,16.952436562911515
AT1G01720,9.83482064565863
AT1G01740,
AT1G01760,
AT1G01780,6.359778736622117
AT1G01790,
AT1G01800,
AT1G01820,12.673562786172505
AT1G01880,26.945773502099833
AT1G01910,16.99165632228371
AT1G01920,
AT1G01940,12.299970516596082
AT1G01960,31.242676976459222
AT1G01970,18.327472320432516
AT1G01990,5.380751242928002
AT1G02010,
AT1G02040,
AT1G02065,6.027778716430135
AT1G02080,
AT1G02090,11.006195381590805
AT1G02130,13.64178503097494
AT1G02140,7.568090894415754
AT1G02150,24.17890825837109
AT1G02160,
AT1G02170,18.806151453217808
AT1G02205,
AT1G02210,3.8605808990845887
AT1G02220,9.174749359335392
AT1G02230,9.564717127979717
AT1G02280,16.24645711159017
AT1G02330,4.83587595885964
AT1G02340,3.8455758986825908
AT1G02380,
AT1G02410,
AT1G02450,2.328428527300609
AT1G02500,31.42679264066437
AT1G02510,
AT1G02520,
AT1G02530,
AT1G02560,11.694654716116712
AT1G02580,16.49182119019451
AT1G02610,
AT1G02640,38.87339543027927
AT1G02650,18.83599077125667
AT1G02680,4.639440251009771
AT1G02690,30.453791291361114
AT1G02740,12.274181555823098
AT1G02750,4.85135643378456
AT1G02780,6.737493588593261
AT1G02810,25.947824222418124
AT1G02816,7.3030182587191526
AT1G02820,1.9845803907475068
AT1G02830,4.921814997810471
AT1G02840,
AT1G02870,
AT1G02900,2.929541153445543
AT1G02910,
AT1G02920,14.224113585131763
AT1G02930,13.754112558557937
AT1G02970,18.28058563596396
AT1G02980,28.157005698585454
AT1G03000,22.40271937832887
AT1G03020,6.121608251651092
AT1G03040,
AT1G03060,
AT1G03070,
AT1G03090,37.44779585915664
AT1G03130,8.07101712904923
AT1G03140,12.410741254725295
AT1G03150,9.970067146602382
AT1G03160,
AT1G03190,32.69514381019225
AT1G03230,26.484139949757452
AT1G03250,
AT1G03290,
AT1G03330,4.697911901349922
AT1G03350,8.180566243907817
AT1G03360,14.304375404619407
AT1G03380,22.329576186635645
AT1G03430,8.973337660082427
AT1G03445,25.99917864906209
AT1G03457,16.474489693958674
AT1G03475,22.460123479059277
AT1G03520,
AT1G03530,12.221654415692
AT1G03590,19.23710067129458
